usage_mins,monthly_bill,support_calls,churn
713.1656683509074,40.96258251146881,0,0
737.4271247340948,64.42836236369837,6,0
510.6947412034479,97.35001976257962,2,0
698.4423298010815,86.06351600216422,2,0
584.1499586452582,58.10557811257006,1,0
553.3582794709455,78.06887708956776,4,1
409.51057025989667,68.1708998107011,1,0
763.2655057712343,26.85131003161481,7,1
539.9510479494342,71.51933877081073,5,1
538.3670070413759,28.933448316130935,4,1
571.8267648172607,72.01485549891683,3,0
576.6911476224129,124.66183336365717,3,1
523.0064050862661,81.25271401740875,5,0
583.3973809309358,85.23214406000821,1,1
480.7050209332098,82.3021900354176,2,0
652.386789438089,71.53643638045381,1,1
668.5572382692004,58.680285896845845,2,1
674.701031364253,53.046621035442925,2,0
506.07373366827125,52.11305108207165,4,0
576.8434007601644,63.94223971664179,0,0
615.7445601987897,79.3757975750286,0,0
643.0423232798468,42.533906268419145,2,0
610.152213521545,37.29712505513715,0,0
530.4560592809344,46.687472128365364,3,0
591.8326274938156,56.00755686634474,3,1
609.4844323676485,84.13653185891047,2,0
631.2988518714646,98.07704632224818,8,1
583.9979841208786,87.46000809210862,1,1
415.9802380356965,97.3131160636679,0,1
483.3579171807688,79.16353808016008,7,1
562.7178804763395,47.866329878160805,3,0
723.5019450891403,67.61499084166091,5,1
628.5346051524633,50.88634641731609,7,0
662.9351889099886,89.36029624675511,4,1
545.4234099002065,102.70229580305578,2,1
675.3101485062848,81.78639823739974,4,1
673.6405405280992,66.5135505355854,4,1
595.0883649969004,59.0802961549562,2,0
425.10563225815406,18.595692907772857,2,0
542.7700715308227,82.54688048563011,7,1
534.761948235781,67.90684158768107,3,0
673.0921968505897,73.26709142619299,2,1
756.4085119176722,35.203792888270854,1,1
592.0372902991836,65.23000380505351,1,1
761.2126502790584,87.71053219407588,2,1
577.7454201188656,105.56733221955952,4,0
399.9757747881493,65.0080822873915,4,0
658.132676812223,46.04823458151742,4,1
601.0120185249014,12.297029016448477,1,0
590.6463185562864,90.07410362768177,3,0
598.6819753451525,61.719211559754186,4,1
696.8283711799318,96.55011940013479,2,0
824.8420960387451,99.99061050479384,3,1
734.196430276052,83.60302549133738,5,1
564.4171567858809,89.22987580288901,3,1
501.555708091583,65.86661657527277,1,0
487.5789264290943,47.49207329270473,4,1
719.154416421905,76.83677980618005,2,0
638.9348869352739,41.421595807977596,2,1
715.967651575499,72.18851057059217,1,1
647.3749898206685,57.86973151383692,3,1
741.4197746161093,102.07957142145872,3,1
551.4985400673617,62.239375395892125,4,1
540.9785776225939,92.3427126454979,1,0
720.2425973605787,84.43981391483908,0,1
558.0513353240063,64.69066863484797,5,0
733.2238693729145,49.4905975522464,6,1
577.142964001447,111.10568565723429,4,0
629.9545505168699,94.20020481026089,7,1
553.7306584053747,95.34756413965498,4,1
469.43168918997577,36.95087372499631,6,1
704.5361452171375,59.608123741866706,1,0
532.6318834082214,78.36833173422937,4,0
721.435166146238,95.01320354768623,4,0
468.140031328042,73.12749517149251,1,1
680.0072276299794,67.23474004032865,4,1
804.4522434843608,74.32211479977906,3,0
409.69614328328544,79.33101912084874,2,1
612.2687260728474,51.22705756955608,4,0
611.2300276546164,88.19153722594521,6,1
526.6572018472259,35.73465347465028,1,0
695.1835454623705,51.00733013046282,5,0
446.46886202428425,39.51659033112648,3,0
580.5218316606614,49.29171575980759,5,1
476.1257224777961,111.62194917955773,2,0
508.41497933203544,45.99543331282038,4,1
676.8819402062261,65.47486730923592,4,0
631.7040562520262,84.09393791209138,1,1
584.602005045511,51.140932298323584,1,0
488.5990712550338,111.56926549274164,4,0
594.2659532679111,101.55745015479937,3,0
698.1673216352167,78.7479158642724,2,1
488.47824053141,75.16596518548852,2,0
545.9364548763141,55.31474571799138,1,1
752.181957514606,57.05659865770993,2,1
488.7975423597992,53.85402919646097,2,0
637.2601786696326,88.94603129171735,2,1
467.3334794292843,88.02949767123259,2,1
598.9769262359217,71.98433161988734,4,1
530.9711181637462,58.35235561836581,2,1
695.590397862411,55.32851377571282,2,1
516.4005320920535,59.998770052989435,5,0
575.7708690404959,58.96578551255007,3,0
640.7684897969929,86.90405759231325,2,1
628.0078987463231,116.36036658016249,4,1
738.1796535972063,115.62403085842519,2,1
603.9293605876951,46.18322931706949,6,1
539.9395017315226,62.1832421939054,5,0
864.0070436430942,73.9047352922468,0,0
786.3449659739109,85.83138277989369,5,1
616.9122083255543,72.94201852890744,2,0
622.7726221077141,45.84146978603435,0,0
684.5011257135568,72.20282436115713,5,1
608.4075162305351,61.44187064234464,3,1
722.5312831732092,48.74980888780772,3,0
670.6781675108319,47.16018478474099,2,1
711.8658978985693,41.942509237750805,2,0
599.9465898731352,66.96192473753004,3,1
709.4830057680958,47.085571249468764,2,0
440.0046504387233,41.06683654491668,4,0
627.8662576127367,55.24693515532393,5,1
739.3346466833711,59.192741859741446,5,1
729.9091931571036,76.2744885856026,0,1
753.5368240423769,38.43045130188682,5,0
545.1176214395881,62.085203318552736,3,0
772.2976078068833,119.45852255143936,5,1
760.1617882996584,104.0626652017687,5,1
713.33024884781,80.69431544111255,3,1
595.1238216982899,71.11530983411784,2,0
604.5917535226888,104.19946095697672,4,0
716.8466402771893,79.06204927825334,1,0
641.4067443229562,38.59582411475353,1,1
585.2801382970928,52.91029265031456,2,0
644.9204776181074,70.76665107041774,2,1
594.9583700840835,44.014192055278244,4,0
689.8527248363134,52.67236579186772,2,0
752.245196181277,62.1270870268379,3,1
794.7979694569301,63.03215284381109,6,1
683.2871900163675,65.35062165659878,3,1
408.1402305010111,48.99207040067625,3,0
648.1988631743324,55.37152988715886,1,0
579.5770007894324,82.69622412364437,4,1
642.6443782678808,89.05163825833777,4,0
586.9131239659981,45.766811206051784,7,0
631.2691864568222,92.34834901428067,2,0
653.147680367158,57.976174398317326,2,1
466.55426232395814,60.0290857056655,2,0
578.3415558569637,51.40042186632166,4,0
650.1238476438001,54.90244039726082,2,1
699.0834304108281,46.23946773520305,5,0
584.9314861977723,80.59006706997837,0,1
